uri,relation,start,end,extra
"/a/[/r/IsA/,/c/en/bed/,/c/en/furniture/]",/r/IsA,/c/en/bed,/c/en/furniture,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/pavlos""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/20q_1227689298""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/sandos""}], ""surfaceEnd"": ""furniture"", ""surfaceStart"": ""A bed"", ""surfaceText"": ""[[A bed]] is [[furniture]]"", ""weight"": 2.828}"
"/a/[/r/IsA/,/c/en/bed/,/c/en/horizontal_surface/]",/r/IsA,/c/en/bed,/c/en/horizontal_surface,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/graeme""}], ""surfaceEnd"": ""a horizontal surface"", ""surfaceStart"": ""a bed"", ""surfaceText"": ""[[a bed]] is [[a horizontal surface]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bed/,/c/en/place/]",/r/IsA,/c/en/bed,/c/en/place,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/jeffe""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/edsicam""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/halelaniau""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/jeanfred""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/mjlawler""}, {""activity"": ""/s/activity/omcs/vote"", ""contributor"": ""/s/contributor/omcs/mpatitz""}], ""surfaceEnd"": ""a place"", ""surfaceStart"": ""a bed"", ""surfaceText"": ""[[a bed]] is [[a place]]"", ""weight"": 4.472}"
"/a/[/r/IsA/,/c/en/bed/,/c/en/place_where_sleep/]",/r/IsA,/c/en/bed,/c/en/place_where_sleep,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/edsicam""}], ""surfaceEnd"": ""a place where you sleep"", ""surfaceStart"": ""A bed"", ""surfaceText"": ""[[A bed]] is [[a place where you sleep]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bedroom/,/c/en/area_in_home/]",/r/IsA,/c/en/bedroom,/c/en/area_in_home,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/nullotheist""}], ""surfaceEnd"": ""an area in a home"", ""surfaceStart"": ""A bedroom"", ""surfaceText"": ""[[A bedroom]] is [[an area in a home]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bedroom/,/c/en/in_home/]",/r/IsA,/c/en/bedroom,/c/en/in_home,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/hazn""}], ""surfaceEnd"": ""in home"", ""surfaceStart"": ""Bedroom"", ""surfaceText"": ""[[Bedroom]] is [[in home]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bedroom/,/c/en/part_of_home/]",/r/IsA,/c/en/bedroom,/c/en/part_of_home,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/avenger""}], ""surfaceEnd"": ""a part of a home"", ""surfaceStart"": ""Bedroom"", ""surfaceText"": ""[[Bedroom]] is [[a part of a home]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bedroom/,/c/en/room_in_house/]",/r/IsA,/c/en/bedroom,/c/en/room_in_house,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/jd204c""}], ""surfaceEnd"": ""a room in a house"", ""surfaceStart"": ""A bedroom"", ""surfaceText"": ""[[A bedroom]] is [[a room in a house]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/bedroom/,/c/en/where_people_sleep/]",/r/IsA,/c/en/bedroom,/c/en/where_people_sleep,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/omcs1_possibly_free_text"", ""contributor"": ""/s/contributor/omcs/browni""}], ""surfaceEnd"": ""where people sleep"", ""surfaceStart"": ""a bedroom"", ""surfaceText"": ""[[a bedroom]] is [[where people sleep]]"", ""weight"": 1.0}"
"/a/[/r/IsA/,/c/en/blender/,/c/en/electric_appliance/]",/r/IsA,/c/en/blender,/c/en/electric_appliance,"{""dataset"": ""/d/conceptnet/4/en"", ""license"": ""cc:by/4.0"", ""sources"": [{""activity"": ""/s/activity/omcs/is_a_cleanup"", ""contributor"": ""/s/contributor/omcs/guru1""}], ""surfaceEnd"": ""an electric appliance"", ""surfaceStart"": ""A blender"", ""surfaceText"": ""[[A blender]] is [[an electric appliance]]"", ""weight"": 1.0}"
